City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,lianyuan,27.6883,111.6642,26.64,83,28,0.71,CN,1724620537
154,keflavik,64.0049,-22.5624,7.24,81,40,4.63,IS,1724620538
155,bukama,-9.2,25.85,24.16,26,90,1.73,CD,1724620539
156,sitka,57.0531,-135.33,14.94,77,100,5.14,US,1724620541
157,lihue,21.9789,-159.3672,26.77,81,100,9.26,US,1724620542
158,alice springs,-23.7,133.8833,13.75,54,0,3.6,AU,1724620543
159,paracuru,-3.41,-39.0306,25.53,75,47,6.35,BR,1724620544
160,acajutla,13.5928,-89.8275,29.44,71,16,2.72,SV,1724620546
161,puerto ayora,-0.7393,-90.3518,20.86,91,77,3.13,EC,1724620547
162,smithers,54.7804,-127.1743,16.18,55,100,2.57,CA,1724620548
163,karratha,-20.7377,116.8463,22.65,33,16,3.85,AU,1724620551
164,queenstown,-31.8976,26.8753,11.07,28,70,2.65,ZA,1724620552
165,rodolfo sanchez taboada,31.7167,-116.5667,24.5,49,0,1.79,MX,1724620553
166,afif,23.9065,42.9172,27.77,46,49,5.6,SA,1724620554
167,rudnichnyy,59.617,52.4703,12.22,96,91,2.33,RU,1724620555
168,pljevlja,43.3333,19.3333,18.99,58,62,1.26,ME,1724620557
169,tokombere,11.2271,13.4858,21.2,92,100,1.05,NG,1724620558
170,zhigalovo,54.8097,105.1578,12.78,83,99,1.49,RU,1724620559
171,susuman,62.7833,148.1667,14.71,55,52,1.89,RU,1724620560
172,porto novo,6.4965,2.6036,24.9,87,100,2.76,BJ,1724620562
173,shahrak,34.1074,64.3052,12.61,41,0,1.86,AF,1724620563
174,hojai,26.0,92.8667,24.37,94,33,1.27,IN,1724620564
175,prince george,53.9166,-122.753,20.34,50,99,1.34,CA,1724620267
176,badger,64.8,-147.5333,10.93,79,75,2.57,US,1724620566
177,geraldton,-28.7667,114.6,9.23,93,39,4.63,AU,1724620568
178,panama city beach,30.1766,-85.8055,33.94,54,40,4.12,US,1724620569
179,road town,18.4167,-64.6167,30.02,70,40,3.09,VG,1724620570
180,gaigeturi,33.4644,126.3183,25.03,78,0,2.06,KR,1724620571
181,east london,-33.0153,27.9116,16.94,81,88,7.51,ZA,1724620573
182,crane,31.3974,-102.3501,35.66,25,1,6.65,US,1724620574
183,constantia,44.1833,28.65,23.38,78,11,4.53,RO,1724620575
184,tralee,52.2704,-9.7026,13.75,87,74,4.54,IE,1724620576
185,xining,36.6167,101.7667,16.39,92,100,0.52,CN,1724620577
186,codrington,-38.2667,141.9667,11.0,84,42,6.14,AU,1724620579
